,braid,free_part,torsion_part,total_num_FP,total_num_TP
25,"[-3, -3, -2, -1, 1, -1, 1, 3, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
26,"[-1, -2, 1, -2, 2, 1, 1, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
27,"[3, -1, -3, 2, -3, -1, 2, 3, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
28,"[-2, 2, -2, -2, -3, 2, -2, 3, -1]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
29,"[2, -1, 1, -1, -3, 3, 3, 1, 2]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
30,"[2, 1, -1, 2, -3, -3, -1, -1, -2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
31,"[-3, 3, 3, -2, 1, -2, -3, -3, 3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
32,"[3, -3, -2, -3, 3, -1, 1, -1, 2]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
33,"[-1, 1, -1, -1, 1, -1, 3, 2, 1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
34,"[-3, -1, 3, 2, 1, -2, -2, -3, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
35,"[2, 2, 2, -3, 3, 2, -2, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
36,"[1, 2, 3, 1, 2, 1, 1, 3, 2]","{(5, 0): 1, (7, 0): 1, (9, 2): 1, (11, 4): 1, (13, 3): 1, (13, 4): 1, (15, 5): 1, (17, 5): 1}","{(11, 3): {2: 1}}",8,1
37,"[3, 1, 2, -1, -2, -2, -2, -2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
38,"[-1, -1, -2, -3, -2, 3, -1, -1, -1]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2
39,"[2, -3, -2, 2, -2, 2, -1, -3, 2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
40,"[-3, 2, -2, 3, 2, 1, -2, -3, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
41,"[3, 1, -1, -2, -1, -3, 1, -2, 3]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
42,"[3, 3, -1, -2, 3, -1, 2, 3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
43,"[3, -2, 3, 1, 1, -3, -2, -2, -3]","{(-9, -3): 1, (-7, -3): 1, (-5, -2): 1, (-5, -1): 1, (-3, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 3, (1, 0): 2, (1, 2): 1, (3, 2): 2, (5, 2): 1}","{(-7, -2): {2: 1}, (-5, -2): {2: 1}, (-3, 0): {2: 1}, (-1, 0): {2: 1}}",16,4
44,"[-2, -2, 2, 2, -3, -3, 3, 2, 2]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
45,"[-1, 3, -3, -2, -1, -1, -1, -1, -3]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2
46,"[-3, 1, -2, -1, -3, 3, -1, 2, 1]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
47,"[-3, 3, 1, 3, 1, -2, -2, 2, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
48,"[-1, 1, 2, 1, 2, 1, -2, 2, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
49,"[2, -3, 1, 3, 1, -2, -1, 2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
50,"[3, 3, -3, -2, 1, -3, 1, -1, 1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
51,"[3, -2, -1, 2, 2, 2, 2, 3, 1]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (9, 2): 1, (11, 3): 1, (11, 4): 2, (13, 4): 1, (15, 5): 1, (15, 6): 1, (17, 6): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",12,2
52,"[3, -3, -2, -3, 1, -1, 2, -3, 2]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
53,"[-1, -3, -3, 1, -2, 3, -2, 1, -3]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3
54,"[2, -3, 2, 1, 2, -3, 3, -2, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
55,"[2, -2, 1, 1, -1, 2, 2, 2, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
56,"[-1, -3, 2, 1, -2, -3, -1, -3, -2]","{(-11, -4): 1, (-9, -4): 1, (-7, -2): 2, (-5, -2): 2, (-3, 0): 1, (-1, 0): 1}",{},8,0
57,"[2, 1, -3, -3, -1, -2, 1, 3, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
58,"[2, 3, 2, 1, -1, 2, -1, 1, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
59,"[-2, 2, 3, -2, -3, 1, -1, -1, -3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
60,"[-1, 2, 3, -2, 1, 2, -2, -1, 1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
61,"[-2, -1, -3, -3, -3, -2, -2, 2, 3]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3
62,"[2, -1, 2, 1, -1, -1, -3, -3, 3]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2
63,"[-2, 1, 1, 2, -3, 3, -2, 1, -2]","{(-4, -2): 1, (-2, -2): 1, (0, 0): 2, (2, 0): 1, (4, 1): 1, (4, 2): 1, (8, 3): 1}","{(2, 1): {2: 1}, (6, 3): {2: 1}}",8,2
64,"[-1, 1, -2, 3, -1, 1, 2, -1, 1]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
65,"[2, 2, 3, 1, -2, 1, -1, -3, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
66,"[3, 2, 2, 2, 2, -1, -1, 1, -1]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 2, (3, 0): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1}","{(3, 1): {2: 1}, (7, 3): {2: 1}}",12,2
67,"[2, 1, 1, -2, -3, 2, 1, -1, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
68,"[-3, -2, -3, 3, -1, 1, 1, 3, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
69,"[-2, 1, -2, -2, -1, -1, -3, -2, -2]","{(-19, -7): 1, (-17, -6): 1, (-15, -6): 1, (-15, -5): 2, (-13, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 2, (-9, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, -1): 1, (-5, 0): 1, (-3, 0): 1}","{(-17, -6): {2: 1}, (-15, -5): {2: 1}, (-13, -4): {2: 2}, (-11, -3): {2: 1}, (-9, -2): {2: 2}, (-7, -1): {2: 1}}",18,8
70,"[-1, 2, -1, -1, -3, 3, -1, -2, 2]","{(-12, -4): 1, (-10, -4): 1, (-10, -3): 1, (-6, -2): 1, (-4, 0): 1, (-2, 0): 1}","{(-8, -2): {2: 1}}",6,1
71,"[1, 2, 1, -3, -3, -3, -1, 2, -3]","{(-11, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 1, (-5, -1): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",12,5
72,"[1, 3, 1, 2, -2, -3, -2, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
73,"[-2, 1, -3, -3, -2, -1, -1, -1, -3]","{(-19, -7): 1, (-17, -6): 1, (-15, -6): 1, (-15, -5): 2, (-13, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 2, (-9, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, -1): 1, (-5, 0): 1, (-3, 0): 1}","{(-17, -6): {2: 1}, (-15, -5): {2: 1}, (-13, -4): {2: 2}, (-11, -3): {2: 1}, (-9, -2): {2: 2}, (-7, -1): {2: 1}}",18,8
74,"[1, 3, 1, 3, -1, 1, -1, -3, -1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
75,"[1, -2, 3, -1, 1, -3, 1, 3, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
76,"[3, 3, -1, 1, -2, 2, -3, -1, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
77,"[2, -2, -3, -1, 3, 2, 1, -1, 1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
78,"[-1, -2, -2, -3, 1, 2, -3, -3, 1]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3
79,"[1, 1, 2, -2, 2, 2, -2, 2, 2]","{(2, 0): 1, (4, 0): 1, (6, 2): 2, (8, 2): 1, (10, 3): 1, (10, 4): 1, (14, 5): 1}","{(8, 3): {2: 1}, (12, 5): {2: 1}}",8,2
80,"[1, -2, 3, 3, -2, -1, -3, 1, -1]","{(-3, 0): 1, (-1, 0): 3, (1, 0): 3, (3, 0): 1}",{},8,0
81,"[-2, 3, -1, 2, -2, -1, 3, -1, 3]","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4
82,"[-1, -3, 3, 1, 2, -1, 1, 3, 2]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
83,"[-2, 3, 1, -2, -1, 1, 3, -3, 3]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2
84,"[3, 3, 2, 2, -3, 2, -2, 2, -2]","{(0, 0): 1, (2, 0): 1, (4, 2): 1, (6, 2): 1}",{},4,0
85,"[2, 3, -1, 3, -1, 2, -1, 1, 3]","{(-3, -2): 1, (-1, -2): 1, (1, 0): 2, (3, 0): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1}","{(3, 1): {2: 1}, (7, 3): {2: 1}}",12,2
86,"[1, -2, 1, 2, 3, 1, -3, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
87,"[-2, -2, 1, -3, 2, -3, 2, 3, 1]","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 3, (1, 0): 3, (1, 1): 1, (3, 1): 1, (3, 2): 2, (5, 2): 3, (5, 3): 1, (9, 4): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (7, 4): {2: 1}}",20,6
88,"[-1, 1, -3, -1, -3, 2, -3, -3, -1]","{(-17, -6): 1, (-15, -6): 1, (-15, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",12,2
89,"[-2, -1, 1, 1, -2, 3, -3, -1, 2]","{(-2, 0): 1, (0, 0): 2, (2, 0): 1}",{},4,0
90,"[-2, 3, 2, 1, 2, -1, 1, 3, -1]","{(-1, 0): 1, (1, 0): 1}",{},2,0
91,"[-1, -3, -3, -2, -3, 1, -1, 2, -2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
92,"[-1, -1, -3, 2, 3, -2, -1, 3, -2]","{(-11, -4): 1, (-9, -4): 1, (-9, -3): 2, (-7, -2): 1, (-5, -2): 2, (-3, -1): 1, (-3, 0): 3, (-1, 0): 3, (-1, 1): 1, (3, 2): 1}","{(-7, -2): {2: 2}, (-5, -1): {2: 1}, (1, 2): {2: 1}}",16,4
93,"[-2, 3, -3, 1, -2, 1, 1, 3, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
94,"[2, -2, -2, -2, -3, -1, 3, 3, -3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
95,"[1, 3, 2, 2, 1, -2, 3, -3, -3]","{(-1, 0): 1, (1, 0): 2, (1, 1): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 1, (7, 4): 1, (9, 4): 2, (11, 4): 1}","{(3, 2): {2: 1}, (5, 2): {2: 1}}",12,2
96,"[-2, 3, -2, 3, 3, -3, -3, 1, -1]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
97,"[3, 2, 1, -1, 2, -1, 3, -1, -1]","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 2, (-1, 0): 1, (1, 0): 3, (1, 1): 1, (3, 2): 2, (5, 2): 3, (7, 4): 1, (9, 4): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 2}, (3, 2): {2: 1}}",16,4
98,"[2, -3, 3, -3, -3, -2, 2, -2, 1]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
99,"[2, -2, -2, 2, 1, 2, -3, 3, 3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
100,"[-1, 3, 2, 1, -2, -3, 1, 1, -3]","{(-1, 0): 1, (1, 0): 1}",{},2,0
101,"[-3, -1, 1, -3, -3, 3, -3, 3, -3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
102,"[-2, 3, 3, 3, 1, 2, -2, -3, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1
103,"[3, -2, -3, 3, -1, 2, 2, 3, -1]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
104,"[1, 3, -3, 2, 2, 3, -1, 3, -3]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
105,"[-3, 2, -1, 2, 2, -1, -3, 1, 2]","{(-3, -2): 1, (1, -1): 1, (1, 0): 2, (3, 0): 1, (3, 1): 1, (5, 1): 1, (5, 2): 1, (7, 2): 1, (7, 3): 1, (9, 3): 1, (11, 4): 1}","{(-1, -1): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 1}, (9, 4): {2: 1}}",12,5
106,"[-1, -3, 2, -3, -2, 2, -3, -1, -2]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3
107,"[-1, -1, -3, 2, 1, -2, -1, 3, 3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
108,"[-2, -3, -1, -1, 3, -1, -2, -2, 1]","{(-17, -6): 1, (-15, -6): 1, (-15, -5): 1, (-13, -5): 2, (-13, -4): 1, (-11, -5): 1, (-11, -4): 3, (-11, -3): 2, (-9, -4): 2, (-9, -3): 2, (-9, -2): 1, (-7, -2): 3, (-5, -2): 2, (-5, -1): 1, (-5, 0): 1, (-3, -1): 1, (-3, 0): 2, (-1, 0): 1}","{(-15, -5): {2: 1}, (-13, -5): {2: 1}, (-13, -4): {2: 1}, (-11, -4): {2: 1}, (-9, -2): {2: 2}, (-7, -2): {2: 2}, (-7, -1): {2: 1}, (-5, -1): {2: 1}}",28,10
109,"[3, 3, -2, -1, -3, 3, -3, 3, -2]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
110,"[2, -1, 3, -1, 3, -3, 3, -3, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
111,"[-1, 1, -2, -2, -1, -1, 1, 3, -2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
112,"[3, 1, -3, 1, -3, 2, -3, -2, -3]","{(-5, -2): 1, (-3, -2): 1, (-1, 0): 2, (1, 0): 2, (3, 2): 1, (5, 2): 1}",{},8,0
113,"[1, -2, 2, -2, 2, 3, -1, 2, 2]","{(-1, 0): 1, (1, 0): 2, (3, 0): 1, (3, 2): 1, (5, 2): 2, (7, 2): 1}",{},8,0
114,"[2, 1, 2, -3, 3, 2, 1, 3, -2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
115,"[1, -3, -1, -3, -1, -3, 1, -2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1
116,"[-3, -2, -1, -2, 1, 3, -3, -3, 2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
117,"[-3, -1, 1, -2, -2, -1, 3, 3, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
118,"[-1, -1, 1, -1, -2, 2, 1, 2, -2]","{(-1, 0): 1, (1, 0): 1}",{},2,0
119,"[2, 2, 1, 3, -1, -3, -2, -3, -3]","{(-7, -2): 1, (-5, -2): 2, (-3, -2): 1, (-3, 0): 1, (-1, 0): 2, (1, 0): 1}",{},8,0
120,"[-1, 2, -2, -1, -2, -1, -1, -1, -1]","{(-18, -6): 1, (-16, -6): 1, (-16, -5): 1, (-12, -4): 1, (-12, -3): 1, (-8, -2): 1, (-6, 0): 1, (-4, 0): 1}","{(-14, -4): {2: 1}, (-10, -2): {2: 1}}",8,2
121,"[1, -1, -3, 1, -2, 1, 2, -2, -2]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2
122,"[3, -3, 1, -1, -1, -1, -3, -3, -1]","{(-15, -5): 1, (-13, -5): 1, (-11, -4): 1, (-11, -3): 1, (-9, -4): 1, (-9, -3): 1, (-9, -2): 1, (-7, -2): 3, (-5, -2): 2, (-5, 0): 1, (-3, 0): 2, (-1, 0): 1}","{(-13, -4): {2: 1}, (-11, -4): {2: 1}, (-9, -2): {2: 1}, (-7, -2): {2: 1}}",16,4
123,"[-2, 2, 1, 1, 1, 2, 1, 3, 2]","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2
124,"[-3, 3, -3, -3, -2, 3, 2, -2, -3]","{(-6, -2): 1, (-4, -2): 1, (-2, 0): 1, (0, 0): 1}",{},4,0
125,"[3, -1, 3, 3, 1, -3, 1, 1, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 2, (7, 2): 2, (9, 4): 1, (11, 4): 1}",{},8,0
